date,time,height,width,length,volume,weight,angle,gap,velocity,velocity_units,belt_velocity,belt_velocity_units,LFT,TooBig,NoRead,ValidDim,MultiRead,Irreg,TooSmall,Gap
2017-07-07,82805.633,23.0,35.6,33.6,27511.680000000004,111.6,-900,314.13,2786,mm/sec,540.55,ft/min,0,0,1,1,0,0,0,0
2017-07-07,82806.061,6.8,14.4,20.0,1958.4,7.2,-25,25.47,2778,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82806.387,12.8,9.4,13.4,1612.2880000000002,7.5,-20,19.4,2783,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82806.722,6.8,11.6,16.4,1293.6319999999998,8.4,-37,20.55,2783,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82808.819,12.8,19.4,13.4,3327.488,8.5,865,210.39,2807,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82809.453,12.8,22.2,15.6,4432.896000000001,13.4,874,52.12,2802,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82810.228,8.4,12.2,17.0,1742.16,31.1,-18,67.28,2778,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82811.325,9.2,14.0,15.6,2009.2799999999997,9.2,-26,101.25,2767,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82811.693,5.8,7.4,10.8,463.53600000000006,8.2,-35,26.61,2767,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82813.021,17.0,16.8,16.4,4683.84,36.5,-897,128.54,2767,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82814.308,12.2,20.2,20.2,4978.087999999999,29.7,4,117.59,2767,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82815.73,6.6,6.6,8.2,357.19199999999995,5.2,-46,144.33,2767,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82816.666,7.4,7.4,16.0,876.1600000000001,16.0,-22,83.07,2781,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82817.098,4.4,6.2,7.0,190.96000000000004,1.4,-25,39.96,2754,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82819.688,9.4,11.8,18.0,1996.5600000000004,45.9,-3,263.18,2767,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82820.212,8.0,9.4,19.2,1443.84,52.4,4,35.15,2773,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
2017-07-07,82821.824,4.8,9.6,12.2,562.1759999999999,3.4,-56,161.96,2767,mm/sec,540.55,ft/min,1,0,0,1,0,0,0,0
